"CHR"	"POS"	"cas.129"
"chr1"	3000000	-3.00823133044075
"chr1"	3050000	-2.97193924908825
"chr1"	3100000	-3.09832915452522
"chr1"	3150000	-2.69475821134054
"chr1"	3200000	-2.7103958737623
"chr1"	3250000	-2.43898319490388
"chr1"	3300000	-2.03235958468562
"chr1"	3350000	-1.92570621765269
"chr1"	3400000	-2.20526961680746
"chr1"	3450000	-2.35506407448226
"chr1"	3500000	-3.1263893736539
"chr1"	3550000	-3.15502291887806
"chr1"	3600000	-3.30319153230578
"chr1"	3650000	-3.52709148696947
"chr1"	3700000	-3.49657550657208
"chr1"	3750000	-3.59570488126155
"chr1"	3800000	-3.37979875140186
"chr1"	3850000	-3.1985042601196
"chr1"	3900000	-2.91486330891546
"chr1"	3950000	-2.32872411370353
"chr1"	4000000	-3.18244304128874
"chr1"	4050000	-3.22011508062538
"chr1"	4100000	-3.12792577578892
"chr1"	4150000	-3.02540884997887
"chr1"	4200000	-2.95331795721461
"chr1"	4250000	-2.71808758396052
"chr1"	4300000	-2.29837692733383
"chr1"	4350000	-1.68846370742003
"chr1"	4400000	-0.958348307678384
"chr1"	4450000	-0.209830545287417
"chr1"	4500000	0.472884360216568
"chr1"	4550000	1.25299509213194
"chr1"	4600000	1.85728361491026
"chr1"	4650000	2.56108078028344
"chr1"	4700000	2.92516169761472
"chr1"	4750000	3.15196210720829
"chr1"	4800000	3.43063435432986
"chr1"	4850000	3.03843314760033
"chr1"	4900000	3.27854644658816
"chr1"	4950000	2.54240203849311
"chr1"	5000000	2.08486717990023
"chr1"	5050000	1.49304001128012
"chr1"	5100000	1.10628033816988
"chr1"	5150000	0.908879932136907
"chr1"	5200000	0.478371603419952
"chr1"	5250000	0.00486302159631663
"chr1"	5300000	-0.675033438091262
"chr1"	5350000	-1.31389848847964
"chr1"	5400000	-1.87986237668636
"chr1"	5450000	-2.29114511259074
"chr1"	5500000	-2.65201855972809
"chr1"	5550000	-2.82467959786508
"chr1"	5600000	-3.00905324825289
"chr1"	5650000	-2.86329019382313
"chr1"	5700000	-2.39828934554105
"chr1"	5750000	-2.09654640536747
"chr1"	5800000	-2.33733753420977
"chr1"	5850000	-2.450928971147
"chr1"	5900000	-2.42436825871859
"chr1"	5950000	-2.58192844063152
"chr1"	6000000	-2.52777059322358
"chr1"	6050000	-2.31697578999337
"chr1"	6100000	-1.92479539394632
"chr1"	6150000	-1.64239617350864
"chr1"	6200000	-1.57409913757697
"chr1"	6250000	-1.52192785976887
"chr1"	6300000	-1.42160416988269
"chr1"	6350000	-1.48160173865228
"chr1"	6400000	-1.11089926396607
"chr1"	6450000	-1.37814712223085
"chr1"	6500000	-1.84720225214715
"chr1"	6550000	-2.39278469243172
"chr1"	6600000	-2.70590353787534
"chr1"	6650000	-2.69427385737403
"chr1"	6700000	-2.49397504956244
"chr1"	6750000	-2.0988589873092
